약자,한국정보과학회 (2020),BK21플러스 IF (2018),KAIST CS (2022),SNU CSE (2024.4),POSTECH CSE (2023.10),평균 (정규화),학회명,DBLP Key
ICCAD,우수,3,O,O,우수,0.75,International Conference on Computer Aided Design (ICCAD),conf/iccad
ICCD,우수,1,,,우수,0.25,International Conference on Computer Design (ICCD),conf/iccd
ICCI*CC,우수,,,,,0.10,IEEE International Conference on Cognitive Informatics and Cognitive Computing (ICCI*CC),conf/IEEEicci
ICCPS,우수,,,,우수,0.20,International Conference on Cyber-Physical Systems (ICCPS),conf/iccps
ICCV (oral),최우수,4,O,O,최우수,1.00,IEEE International Conference on Computer Vision (ICCV) (oral),conf/iccv
ICCV (poster),우수,,O,O,최우수,0.70,IEEE International Conference on Computer Vision (ICCV) (poster),conf/iccv
ICCV (spotlight),최우수,2,O,O,최우수,0.90,IEEE International Conference on Computer Vision (ICCV) (spotlight),conf/iccv
ICDCS,우수,3,O,O,우수,0.75,IEEE International Conference on Distributed Computing Systems (ICDCS),conf/icdcs
ICDE,최우수,3,O,O,최우수,0.95,IEEE International Conference on Data Engineering (ICDE),conf/icde
ICDM,최우수,3,,O,최우수,0.75,IEEE International Conference on Data Mining (ICDM),conf/icdm
ICFP,최우수,2,,O,최우수,0.70,ACM SIGPLAN International Conference on Functional Programming (ICFP),conf/icfp
ICLP,,1,,,,0.05,International Conference on Logic Programming (ICLP),conf/iclp
ICLR (oral),우수,,,O,최우수,0.50,International Conference on Learning Representations (ICLR) (oral),conf/iclr
ICLR (poster),,,,O,최우수,0.40,International Conference on Learning Representations (ICLR) (poster),conf/iclr
ICLR (spotlight),우수,,,O,최우수,0.50,International Conference on Learning Representations (ICLR) (spotlight),conf/iclr
ICMI,,,,,우수,0.10,International Conference on Multimodal Interaction (ICMI),conf/icmi
ICML (oral),최우수,4,O,O,최우수,1.00,International Conference on Machine Learning (ICML) (oral),conf/icml
ICML (poster),,,O,O,최우수,0.60,International Conference on Machine Learning (ICML) (poster),conf/icml
ICML (spotlight),최우수,,O,O,최우수,0.80,International Conference on Machine Learning (ICML) (spotlight),conf/icml
ICMR,,1,,,,0.05,International Conference on Multimedia Retrieval (ICMR),conf/mir
ICNP,우수,2,O,,우수,0.50,IEEE International Conference on Network Protocols (ICNP),conf/icnp
ICPP,우수,2,,,우수,0.30,International Conference on Parallel Processing (ICPP),conf/icpp
ICPR,,1,,,,0.05,International Conference on Pattern Recognition (ICPR),conf/icpr
ICRA,우수,1,O,,우수,0.45,IEEE International Conference on Robotics and Automation (ICRA),conf/icra
ICS,우수,2,O,O,우수,0.70,ACM International Conference on Supercomputing (ICS),conf/ics
ICSE,최우수,4,O,O,최우수,1.00,International Conference on Software Engineering (ICSE),conf/icse
ICSME (ICSM),우수,2,,,우수,0.30,IEEE International Conference on Software Maintenance and Evolution (ICSME),conf/icsm
ICSOC,우수,1,,,,0.15,International Conference on Service Oriented Computing (ICSOC),conf/icsoc
ICST,우수,1,,,우수,0.25,"International Conference on Software Testing, Verification, and Validation (ICST)",conf/icst
ICWS,우수,2,,,,0.20,IEEE International Conference on Web Services (IEEE ICWS),conf/icws
ICWSM,우수,,,,우수,0.20,International Conference on Web and Social Media (ICWSM),conf/icwsm
IISWC,우수,1,,,우수,0.25,IEEE International Symposium on Workload Characterization (IISWC),conf/iiswc
IJCAI,우수,4,O,O,우수,0.80,International Joint Conference on Artificial Intelligence (IJCAI),conf/ijcai
IJCAR,,1,,,우수,0.15,International Joint Conference on Automated Reasoning (IJCAR),conf/ijcar
IJCNLP,우수,,,,우수,0.20,International Joint Conference on Natural Language Processing (IJCNLP),conf/ijcnlp
IM,우수,,,,우수,0.20,IFIP/IEEE Symposium on Integrated Network Management (IM),conf/im
IMC,우수,2,,,우수,0.30,ACM/SIGCOMM Internet Measurement Conference (IMC),conf/imc
INFOCOM,최우수,4,O,O,최우수,1.00,IEEE Conference on Computer Communications (INFOCOM),conf/infocom
InfoVis,,1,,,,0.05,IEEE Information Visualization Conference (InfoVis),conf/infovis
InterSpeech,우수,,,,우수,0.20,Conference of the International Speech Communication Association (INTERSPEECH),conf/interspeech
